,FF,Runout_Full,Matchups
3254,43.578659896,3s 3h 3d 8d Ah,12.631187439
3266,43.578659896,3s 3h 3d 8d As,12.631186916
3279,51.474349538,3s 3h 3d 9d Ac,22.03698588
3290,48.476855448,3s 3h 3d 9d Ad,16.454327448
3302,50.589471457,3s 3h 3d 9d Ah,15.665189642
3314,50.589471457,3s 3h 3d 9d As,15.665189163
3327,58.959527616,3s 3h 3d Td Ac,60.615354516
3338,55.705966548,3s 3h 3d Td Ad,55.845923616
3350,57.717720773,3s 3h 3d Td Ah,53.409371868
3362,57.717720773,3s 3h 3d Td As,53.409379007
3375,49.803437339,3s 3h 3d Jd Ac,99.9803981
3386,56.248797418,3s 3h 3d Jd Ad,92.358766426
3398,52.338741633,3s 3h 3d Jd Ah,83.793424055
3410,52.338741633,3s 3h 3d Jd As,83.793423563
3423,30.593456726,3s 3h 3d Qd Ac,2.3420875395
3434,30.85011778,3s 3h 3d Qd Ad,2.0367121523
3446,32.83783321,3s 3h 3d Qd Ah,0.96006389428
3458,32.83783321,3s 3h 3d Qd As,0.96006398862
3471,51.011893408,3s 3h 3d Kd Ac,0.0058729442267
3482,61.27370009,3s 3h 3d Kd Ad,0.0053580805665
3494,63.33083643,3s 3h 3d Kd Ah,0.0041635083
3506,63.33083643,3s 3h 3d Kd As,0.0041635083
3567,53.528384472,3s 3h 3d 2h Ac,32.024678315
3579,54.362524133,3s 3h 3d 2h Ad,15.457262555
3590,54.835199289,3s 3h 3d 2h Ah,22.051755503
3602,54.362524133,3s 3h 3d 2h As,15.457262554
3615,51.692414647,3s 3h 3d 4h Ac,30.863238599
3627,51.783237811,3s 3h 3d 4h Ad,13.4379089
3638,51.944033711,3s 3h 3d 4h Ah,22.942700589
3650,51.783237811,3s 3h 3d 4h As,13.437907035
3663,51.528570791,3s 3h 3d 5h Ac,29.929613065
3675,51.031026066,3s 3h 3d 5h Ad,10.273047947
3686,51.94141273,3s 3h 3d 5h Ah,20.39516391
3698,51.031026066,3s 3h 3d 5h As,10.273046414
3711,48.15426626,3s 3h 3d 6h Ac,25.474624027
3723,49.183107725,3s 3h 3d 6h Ad,13.793087725
3734,48.543355537,3s 3h 3d 6h Ah,11.891561515
3746,49.183107725,3s 3h 3d 6h As,13.793087725
3759,48.777072092,3s 3h 3d 7h Ac,31.5814374
3771,48.799452637,3s 3h 3d 7h Ad,18.844097226
3782,49.469846749,3s 3h 3d 7h Ah,20.518739196
3794,48.799452637,3s 3h 3d 7h As,18.844096842
3807,42.59764822,3s 3h 3d 8h Ac,19.583828483
3819,43.578659896,3s 3h 3d 8h Ad,12.631187516
3830,43.529458998,3s 3h 3d 8h Ah,14.083668791
3842,43.578659896,3s 3h 3d 8h As,12.631187483
3855,51.474349538,3s 3h 3d 9h Ac,22.03698415
3867,50.589471457,3s 3h 3d 9h Ad,15.665189611
3878,48.476855448,3s 3h 3d 9h Ah,16.454327202
3890,50.589471457,3s 3h 3d 9h As,15.665189224
3903,58.959527616,3s 3h 3d Th Ac,60.615361172
3915,57.717720773,3s 3h 3d Th Ad,53.409373037
3926,55.705966548,3s 3h 3d Th Ah,55.845922876
3938,57.717720773,3s 3h 3d Th As,53.409379007
3951,49.803437339,3s 3h 3d Jh Ac,99.980398162
3963,52.338741633,3s 3h 3d Jh Ad,83.793423809
3974,56.248797418,3s 3h 3d Jh Ah,92.35876667
3986,52.338741633,3s 3h 3d Jh As,83.79342344
3999,30.593456726,3s 3h 3d Qh Ac,2.3420875317
4011,32.83783321,3s 3h 3d Qh Ad,0.9600639999
4022,30.85011778,3s 3h 3d Qh Ah,2.0367121443
4034,32.83783321,3s 3h 3d Qh As,0.96006389633
4047,51.011893408,3s 3h 3d Kh Ac,0.0058729441262
4059,63.33083643,3s 3h 3d Kh Ad,0.0041635083
4070,61.27370009,3s 3h 3d Kh Ah,0.0053580805665
4082,63.33083643,3s 3h 3d Kh As,0.0041635083
4143,53.528384472,3s 3h 3d 2s Ac,32.024678192
4155,54.362524133,3s 3h 3d 2s Ad,15.457262554
4167,54.362524133,3s 3h 3d 2s Ah,15.457262554
4178,54.835199289,3s 3h 3d 2s As,22.051755995
4191,51.692414647,3s 3h 3d 4s Ac,30.863234414
4203,51.783237811,3s 3h 3d 4s Ad,13.437906914
4215,51.783237811,3s 3h 3d 4s Ah,13.437906914
4226,51.944033711,3s 3h 3d 4s As,22.942700097
4239,51.528570791,3s 3h 3d 5s Ac,29.929613801
4251,51.031026066,3s 3h 3d 5s Ad,10.273047947
4263,51.031026066,3s 3h 3d 5s Ah,10.273046352
4274,51.94141273,3s 3h 3d 5s As,20.39516391
4287,48.15426626,3s 3h 3d 6s Ac,25.474625743
4299,49.183107725,3s 3h 3d 6s Ad,13.793089078
4311,49.183107725,3s 3h 3d 6s Ah,13.793087864
4322,48.543355537,3s 3h 3d 6s As,11.891561515
4335,48.777072092,3s 3h 3d 7s Ac,31.581432635
4347,48.799452637,3s 3h 3d 7s Ad,18.844094
4359,48.799452637,3s 3h 3d 7s Ah,18.844094241
4370,49.469846749,3s 3h 3d 7s As,20.518739181
4383,42.59764822,3s 3h 3d 8s Ac,19.58382836
4395,43.578659896,3s 3h 3d 8s Ad,12.631187499
4407,43.578659896,3s 3h 3d 8s Ah,12.631187575
4418,43.529458998,3s 3h 3d 8s As,14.08366876
4431,51.474349538,3s 3h 3d 9s Ac,22.036981592
4443,50.589471457,3s 3h 3d 9s Ad,15.665189641
4455,50.589471457,3s 3h 3d 9s Ah,15.665189163
4466,48.476855448,3s 3h 3d 9s As,16.454327448
4479,58.959527616,3s 3h 3d Ts Ac,60.615361172
4491,57.717720773,3s 3h 3d Ts Ad,53.409371776
4503,57.717720773,3s 3h 3d Ts Ah,53.409371989
4514,55.705966548,3s 3h 3d Ts As,55.845923124
4527,49.803437339,3s 3h 3d Js Ac,99.980400191
4539,52.338741633,3s 3h 3d Js Ad,83.793423563
4551,52.338741633,3s 3h 3d Js Ah,83.793423563
4562,56.248797418,3s 3h 3d Js As,92.358764399
4575,30.593456726,3s 3h 3d Qs Ac,2.3420871738
4587,32.83783321,3s 3h 3d Qs Ad,0.96006399231
4599,32.83783321,3s 3h 3d Qs Ah,0.96006399231
4610,30.85011778,3s 3h 3d Qs As,2.0367121443
4623,51.011893408,3s 3h 3d Ks Ac,0.0058729442267
4635,63.33083643,3s 3h 3d Ks Ad,0.0041635083
4647,63.33083643,3s 3h 3d Ks Ah,0.0041635083
4658,61.27370009,3s 3h 3d Ks As,0.0053580805665
4719,31.984760188,4s 2s 2h 2c Ac,44.506128104
4732,31.988060439,4s 2s 2h 2c Ad,44.832706022
4744,30.998052403,4s 2s 2h 2c Ah,20.128359435
4755,40.494152892,4s 2s 2h 2c As,26.492322602
4767,47.072273512,4s 2s 2h 3c Ac,21.893231535
4780,46.748023788,4s 2s 2h 3c Ad,19.2119853
4792,51.089643463,4s 2s 2h 3c Ah,0.63191696436
4803,69.055668891,4s 2s 2h 3c As,88.544538268
